                                 Started job on |	Nov 25 14:06:19
                             Started mapping on |	Nov 25 14:11:04
                                    Finished on |	Nov 25 14:11:05
       Mapping speed, Million of reads per hour |	18.00

                          Number of input reads |	5000
                      Average input read length |	150
                                    UNIQUE READS:
                   Uniquely mapped reads number |	2867
                        Uniquely mapped reads % |	57.34%
                          Average mapped length |	146.98
                       Number of splices: Total |	904
            Number of splices: Annotated (sjdb) |	854
                       Number of splices: GT/AG |	832
                       Number of splices: GC/AG |	9
                       Number of splices: AT/AC |	0
               Number of splices: Non-canonical |	63
                      Mismatch rate per base, % |	1.03%
                         Deletion rate per base |	0.00%
                        Deletion average length |	0.00
                        Insertion rate per base |	0.04%
                       Insertion average length |	1.04
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	1653
             % of reads mapped to multiple loci |	33.06%
        Number of reads mapped to too many loci |	0
             % of reads mapped to too many loci |	0.00%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	9.56%
                     % of reads unmapped: other |	0.04%
